id: 36476 , bb_dists : 12.000000
id: 53240 , bb_dists : 75.000000
id: 46040 , bb_dists : 89.722222
id: 33948 , bb_dists : 28.000000
id: 8641 , bb_dists : 85.154195
id: 23281 , bb_dists : 21.000000
id: 16407 , bb_dists : 91.827243
id: 48520 , bb_dists : 99.368534
id: 38410 , bb_dists : 81.695122
id: 16112 , bb_dists : 101.000000
id: 1939 , bb_dists : 89.722222
id: 24166 , bb_dists : 91.318817
id: 48520 , bb_dists : 92.108164
id: 54585 , bb_dists : 22.212766
id: 57898 , bb_dists : 11.000000
id: 61724 , bb_dists : 94.325166
id: 48703 , bb_dists : 22.081462
id: 2356 , bb_dists : 16.864865
id: 21574 , bb_dists : 97.374527
id: 38602 , bb_dists : 103.079117
id: 28082 , bb_dists : 24.000000
id: 24518 , bb_dists : 85.154195
id: 61660 , bb_dists : 99.781095
id: 54494 , bb_dists : 77.000000
id: 62140 , bb_dists : 86.000000
id: 59341 , bb_dists : 98.909091
id: 53518 , bb_dists : 82.000000
id: 64108 , bb_dists : 97.351079
id: 60141 , bb_dists : 81.000000
id: 59485 , bb_dists : 95.332918
id: 62396 , bb_dists : 86.870225
id: 20288 , bb_dists : 21.033708
id: 59597 , bb_dists : 81.145134
id: 59341 , bb_dists : 93.316750
id: 4805 , bb_dists : 77.470968
id: 56457 , bb_dists : 17.333333
id: 23873 , bb_dists : 21.033708
id: 16336 , bb_dists : 88.955056
id: 37453 , bb_dists : 15.529412
id: 31828 , bb_dists : 93.000000
id: 34731 , bb_dists : 103.079117
id: 21505 , bb_dists : 15.529412
id: 39290 , bb_dists : 84.992157
id: 42142 , bb_dists : 63.000000
id: 44782 , bb_dists : 21.758999
id: 49839 , bb_dists : 84.426036
id: 39997 , bb_dists : 23.124706
id: 2371 , bb_dists : 81.142295
id: 62588 , bb_dists : 95.239164
id: 4997 , bb_dists : 21.702128
id: 56761 , bb_dists : 12.315789
id: 47752 , bb_dists : 99.368534
id: 18327 , bb_dists : 97.418749
id: 36332 , bb_dists : 21.758999
id: 62763 , bb_dists : 14.000000
id: 39258 , bb_dists : 98.359892
id: 48399 , bb_dists : 11.000000
id: 62668 , bb_dists : 101.051677
id: 56425 , bb_dists : 11.000000
id: 20641 , bb_dists : 22.000000
id: 51567 , bb_dists : 96.361406
id: 63387 , bb_dists : 29.000000
id: 12592 , bb_dists : 95.755632
id: 44937 , bb_dists : 91.000000
id: 30948 , bb_dists : 84.152013
id: 34715 , bb_dists : 91.728261
id: 50239 , bb_dists : 94.374259
id: 46392 , bb_dists : 84.988235
id: 63611 , bb_dists : 12.000000
id: 33356 , bb_dists : 16.611111
id: 17207 , bb_dists : 85.497076
id: 6578 , bb_dists : 95.053546
id: 64652 , bb_dists : 90.099711
id: 35228 , bb_dists : 28.000000
id: 58106 , bb_dists : 11.000000
id: 10001 , bb_dists : 91.827243
id: 22966 , bb_dists : 92.750872
id: 10705 , bb_dists : 92.989247
id: 23926 , bb_dists : 93.112258
id: 9110 , bb_dists : 26.000000
id: 29283 , bb_dists : 12.320000
id: 64172 , bb_dists : 89.722222
id: 29235 , bb_dists : 21.000000
id: 60202 , bb_dists : 14.000000
id: 56878 , bb_dists : 95.755632
id: 2787 , bb_dists : 101.300493
id: 20304 , bb_dists : 19.024390
id: 18519 , bb_dists : 93.115100
id: 62924 , bb_dists : 99.910000
id: 64956 , bb_dists : 85.856273
id: 26197 , bb_dists : 91.000000
id: 47912 , bb_dists : 63.000000
id: 23494 , bb_dists : 103.079117
id: 43246 , bb_dists : 25.285363
id: 23793 , bb_dists : 21.824231
id: 24853 , bb_dists : 85.988372
id: 6053 , bb_dists : 67.000000
id: 41209 , bb_dists : 106.384977
id: 11174 , bb_dists : 66.000000
id: 42361 , bb_dists : 91.103983
id: 39005 , bb_dists : 13.928571
id: 20391 , bb_dists : 102.158141
id: 41657 , bb_dists : 101.426166
id: 41230 , bb_dists : 13.000000
id: 40394 , bb_dists : 101.051677
id: 18823 , bb_dists : 93.112258
id: 2787 , bb_dists : 73.000000
id: 13264 , bb_dists : 83.144793
id: 47823 , bb_dists : 13.000000
id: 10465 , bb_dists : 102.302439
id: 1683 , bb_dists : 95.332918
id: 16567 , bb_dists : 88.090884
id: 60698 , bb_dists : 22.019835
id: 23377 , bb_dists : 17.948718
id: 25682 , bb_dists : 17.948718
id: 52943 , bb_dists : 97.908163
id: 40474 , bb_dists : 83.702381
id: 53438 , bb_dists : 84.152013
id: 14823 , bb_dists : 77.000000
id: 12752 , bb_dists : 98.008466
id: 18224 , bb_dists : 11.000000
id: 4917 , bb_dists : 19.024390
id: 34908 , bb_dists : 18.871795
id: 16704 , bb_dists : 20.355572
id: 55230 , bb_dists : 85.856273
id: 64460 , bb_dists : 99.910000
id: 62364 , bb_dists : 95.497382
id: 50607 , bb_dists : 95.332918
id: 6261 , bb_dists : 11.000000
id: 13184 , bb_dists : 90.099711
id: 36043 , bb_dists : 84.152013
id: 40106 , bb_dists : 88.090884
id: 46079 , bb_dists : 13.933333
id: 53321 , bb_dists : 17.854976
id: 46008 , bb_dists : 87.086322
id: 18967 , bb_dists : 95.343462
id: 20977 , bb_dists : 22.711717
id: 39578 , bb_dists : 90.725275
id: 57214 , bb_dists : 97.233076
id: 11521 , bb_dists : 82.000000
id: 7874 , bb_dists : 103.079117
id: 14912 , bb_dists : 89.929810
id: 34540 , bb_dists : 23.741900
id: 65116 , bb_dists : 83.000000
id: 58493 , bb_dists : 82.663968
id: 32116 , bb_dists : 96.865822
id: 21574 , bb_dists : 84.000000
id: 53641 , bb_dists : 17.333333
id: 22390 , bb_dists : 93.112258
id: 53310 , bb_dists : 81.000000
id: 58858 , bb_dists : 21.758999
id: 26981 , bb_dists : 97.351079
id: 38029 , bb_dists : 21.702128
id: 44649 , bb_dists : 95.343462
id: 12225 , bb_dists : 103.913462
id: 932 , bb_dists : 17.333333
id: 14848 , bb_dists : 105.000000
id: 62284 , bb_dists : 96.342090
id: 52415 , bb_dists : 84.152013
id: 27909 , bb_dists : 102.000000
id: 19312 , bb_dists : 15.272727
id: 34507 , bb_dists : 83.149777
id: 16711 , bb_dists : 82.496970
id: 41934 , bb_dists : 31.000000
id: 37037 , bb_dists : 11.000000
id: 42857 , bb_dists : 96.342090
id: 17495 , bb_dists : 92.869903
id: 14176 , bb_dists : 94.532874
id: 33195 , bb_dists : 95.922637
id: 52024 , bb_dists : 22.081462
id: 31604 , bb_dists : 93.306509
id: 28835 , bb_dists : 18.439024
id: 48255 , bb_dists : 22.000000
id: 61037 , bb_dists : 96.342090
id: 18928 , bb_dists : 20.731485
id: 38493 , bb_dists : 17.837838
id: 18695 , bb_dists : 88.988764
id: 41545 , bb_dists : 92.773041
id: 29044 , bb_dists : 92.559165
id: 1731 , bb_dists : 102.912621
id: 19568 , bb_dists : 14.933333
id: 32780 , bb_dists : 18.655694
id: 40365 , bb_dists : 13.000000
